n,instance_idx,seed,due_model,due_range,due_tardiness,memo_mode,memo_cleaning,branch_rule,memo_capacity,best_sum_tardiness,time_ms,nodes,leaves,pruned_by_bound,pruned_by_memo_exact,pruned_by_memo_lb,memo_hits,memo_misses,memo_inserts,memo_updates,memo_evictions,memo_peak_size,memo_final_size,status,error
77,0,77001156,potts,0.6,0.6,solution,lufo,decomposition,15339168,11137,0.2319,334,1,0,0,0,0,0,0,0,0,0,0,ok,
78,0,78001159,potts,0.6,0.6,solution,lufo,decomposition,15339168,13227,0.2513,348,1,0,0,0,0,0,0,0,0,0,0,ok,
79,0,79001162,potts,0.6,0.6,solution,lufo,decomposition,15339168,14888,0.2453,344,1,0,0,0,0,0,0,0,0,0,0,ok,
80,0,80001165,potts,0.6,0.6,solution,lufo,decomposition,15339168,10741,0.269,364,1,0,0,0,0,0,0,0,0,0,0,ok,
81,0,81001168,potts,0.6,0.6,solution,lufo,decomposition,15339168,9695,0.2683,364,1,0,0,0,0,0,0,0,0,0,0,ok,
82,0,82001171,potts,0.6,0.6,solution,lufo,decomposition,15339168,12179,0.3067,374,1,0,0,0,0,0,0,0,0,0,0,ok,
83,0,83001174,potts,0.6,0.6,solution,lufo,decomposition,15339168,14051,0.2781,350,1,0,0,0,0,0,0,0,0,0,0,ok,
84,0,84001177,potts,0.6,0.6,solution,lufo,decomposition,15339168,11530,0.3483,386,1,0,0,0,0,0,0,0,0,0,0,ok,
85,0,85001180,potts,0.6,0.6,solution,lufo,decomposition,15339168,15547,0.3086,350,1,0,0,0,0,0,0,0,0,0,0,ok,
86,0,86001183,potts,0.6,0.6,solution,lufo,decomposition,15339168,10701,0.3385,368,1,0,0,0,0,0,0,0,0,0,0,ok,
87,0,87001186,potts,0.6,0.6,solution,lufo,decomposition,15339168,13616,0.3689,392,1,0,0,0,0,0,0,0,0,0,0,ok,
88,0,88001189,potts,0.6,0.6,solution,lufo,decomposition,15339168,14246,0.3422,380,1,0,0,0,0,0,0,0,0,0,0,ok,
89,0,89001192,potts,0.6,0.6,solution,lufo,decomposition,15339168,14094,0.3685,406,1,0,0,0,0,0,0,0,0,0,0,ok,
90,0,90001195,potts,0.6,0.6,solution,lufo,decomposition,15339168,14918,0.3789,394,1,0,0,0,0,0,0,0,0,0,0,ok,
91,0,91001198,potts,0.6,0.6,solution,lufo,decomposition,15339168,14793,0.3731,404,1,0,0,0,0,0,0,0,0,0,0,ok,
92,0,92001201,potts,0.6,0.6,solution,lufo,decomposition,15339168,15392,0.3603,392,1,0,0,0,0,0,0,0,0,0,0,ok,
93,0,93001204,potts,0.6,0.6,solution,lufo,decomposition,15339168,16425,0.3912,402,1,0,0,0,0,0,0,0,0,0,0,ok,
94,0,94001207,potts,0.6,0.6,solution,lufo,decomposition,15339168,14426,0.3863,410,1,0,0,0,0,0,0,0,0,0,0,ok,
95,0,95001210,potts,0.6,0.6,solution,lufo,decomposition,15339168,17559,0.4008,410,1,0,0,0,0,0,0,0,0,0,0,ok,
96,0,96001213,potts,0.6,0.6,solution,lufo,decomposition,15339168,15098,0.4036,424,1,0,0,0,0,0,0,0,0,0,0,ok,
97,0,97001216,potts,0.6,0.6,solution,lufo,decomposition,15339168,13656,0.4959,434,1,0,0,0,0,0,0,0,0,0,0,ok,
98,0,98001219,potts,0.6,0.6,solution,lufo,decomposition,15339168,14323,0.4833,442,1,0,0,0,0,0,0,0,0,0,0,ok,
99,0,99001222,potts,0.6,0.6,solution,lufo,decomposition,15339168,17808,0.4234,420,1,0,0,0,0,0,0,0,0,0,0,ok,
100,0,100001225,potts,0.6,0.6,solution,lufo,decomposition,15339168,16234,0.4308,424,1,0,0,0,0,0,0,0,0,0,0,ok,
101,0,101001228,potts,0.6,0.6,solution,lufo,decomposition,15339168,20913,0.4561,422,1,0,0,0,0,0,0,0,0,0,0,ok,
102,0,102001231,potts,0.6,0.6,solution,lufo,decomposition,15339168,21407,0.4747,444,1,0,0,0,0,0,0,0,0,0,0,ok,
