n,instance_idx,seed,due_model,due_range,due_tardiness,memo_mode,memo_cleaning,branch_rule,memo_capacity,best_sum_tardiness,time_ms,nodes,leaves,pruned_by_bound,pruned_by_memo_exact,pruned_by_memo_lb,memo_hits,memo_misses,memo_inserts,memo_updates,memo_evictions,memo_peak_size,memo_final_size,status,error
294,0,294001807,potts,0.6,0.6,solution,lru,decomposition,14316557,144564,4.9451,1342,1,0,0,0,0,0,0,0,0,0,0,ok,
295,0,295001810,potts,0.6,0.6,solution,lru,decomposition,14316557,155512,5.2174,1318,1,0,0,0,0,0,0,0,0,0,0,ok,
296,0,296001813,potts,0.6,0.6,solution,lru,decomposition,14316557,116471,5.2528,1346,1,0,0,0,0,0,0,0,0,0,0,ok,
297,0,297001816,potts,0.6,0.6,solution,lru,decomposition,14316557,146671,5.2985,1340,1,0,0,0,0,0,0,0,0,0,0,ok,
298,0,298001819,potts,0.6,0.6,solution,lru,decomposition,14316557,129131,5.3118,1332,1,0,0,0,0,0,0,0,0,0,0,ok,
299,0,299001822,potts,0.6,0.6,solution,lru,decomposition,14316557,130850,5.3924,1342,1,0,0,0,0,0,0,0,0,0,0,ok,
300,0,300001825,potts,0.6,0.6,solution,lru,decomposition,14316557,159329,5.6655,1350,1,0,0,0,0,0,0,0,0,0,0,ok,
301,0,301001828,potts,0.6,0.6,solution,lru,decomposition,14316557,137993,5.7069,1378,1,0,0,0,0,0,0,0,0,0,0,ok,
302,0,302001831,potts,0.6,0.6,solution,lru,decomposition,14316557,141658,5.0661,1314,1,0,0,0,0,0,0,0,0,0,0,ok,
303,0,303001834,potts,0.6,0.6,solution,lru,decomposition,14316557,116936,5.4927,1376,1,0,0,0,0,0,0,0,0,0,0,ok,
304,0,304001837,potts,0.6,0.6,solution,lru,decomposition,14316557,160788,5.3197,1380,1,0,0,0,0,0,0,0,0,0,0,ok,
305,0,305001840,potts,0.6,0.6,solution,lru,decomposition,14316557,154060,5.4488,1364,1,0,0,0,0,0,0,0,0,0,0,ok,
306,0,306001843,potts,0.6,0.6,solution,lru,decomposition,14316557,133461,5.6189,1390,1,0,0,0,0,0,0,0,0,0,0,ok,
307,0,307001846,potts,0.6,0.6,solution,lru,decomposition,14316557,159663,5.706,1382,1,0,0,0,0,0,0,0,0,0,0,ok,
308,0,308001849,potts,0.6,0.6,solution,lru,decomposition,14316557,155607,5.7036,1392,1,0,0,0,0,0,0,0,0,0,0,ok,
309,0,309001852,potts,0.6,0.6,solution,lru,decomposition,14316557,138868,5.9835,1430,1,0,0,0,0,0,0,0,0,0,0,ok,
310,0,310001855,potts,0.6,0.6,solution,lru,decomposition,14316557,177862,5.7007,1408,1,0,0,0,0,0,0,0,0,0,0,ok,
311,0,311001858,potts,0.6,0.6,solution,lru,decomposition,14316557,134381,5.8765,1432,1,0,0,0,0,0,0,0,0,0,0,ok,
